# Generated by: analyze_storage_usage.py
# Date generated: 2025-11-21 11:37:14
# Command: analyze_storage_usage.py us-prod400thor-prod.storage.csv --daily --by-account --format csv
# Input file: us-prod400thor-prod.storage.csv
# Date range: 2025-11-03 to 2025-11-07
# Format: Per-account daily breakdown
#
Date,StorageAccount,UsedGB,BlobGB,FileGB,TableGB,QueueGB
2025-11-03,hpccqqcxgdata1,223148.57,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata10,222436.39,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata11,222874.34,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata12,223199.59,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata13,219343.29,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata14,223362.99,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata15,222478.95,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata16,223509.22,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata17,219917.69,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata18,222207.14,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata19,223640.10,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata2,219664.69,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata20,223651.38,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata3,224308.86,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata4,222984.62,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata5,223412.86,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata6,224809.57,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata7,226907.73,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata8,219955.30,0.00,0.00,0.00,0.00
2025-11-03,hpccqqcxgdata9,222759.16,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata1,224070.80,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata10,223439.00,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata11,223586.60,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata12,223959.26,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata13,220480.90,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata14,224299.75,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata15,223686.72,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata16,224798.07,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata17,221257.77,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata18,223482.94,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata19,224907.33,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata2,220999.23,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata20,224860.48,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata3,224772.55,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata4,224064.89,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata5,224903.07,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata6,226346.51,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata7,228452.97,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata8,220838.61,0.00,0.00,0.00,0.00
2025-11-04,hpccqqcxgdata9,223997.37,0.00,0.00,0.00,0.00
2025-11-05,hpccqqcxgdata1,224823.97,0.00,0.00,0.00,0.00
2025-11-05,hpccqqcxgdata10,223745.11,0.00,0.00,0.00,0.00
