# Generated by: get_storage_usage.py
# Date generated: 2025-11-20 11:40:09
# Command: ./get_storage_usage.py --subscription us-prod400thor-prod --start-time 2025-11-03 00:00 --end-time 2025-11-07 23:59
# Subscription: 357baeec-2e3e-4bb3-9acc-4d82e2bf2dd0
# Time range: 2025-11-03T00:00:00 to 2025-11-07T23:59:00
#
Timestamp,StorageAccount,ResourceGroup,UsedCapacityGB,BlobCapacityGB,FileCapacityGB,TableCapacityGB,QueueCapacityGB
2025-11-03T00:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222815.51,,,,
2025-11-03T01:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222815.51,,,,
2025-11-03T02:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222815.51,,,,
2025-11-03T03:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222815.49,,,,
2025-11-03T04:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222815.49,,,,
2025-11-03T05:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222815.46,,,,
2025-11-03T06:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223127.11,,,,
2025-11-03T07:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223127.09,,,,
2025-11-03T08:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223127.09,,,,
2025-11-03T09:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223127.09,,,,
2025-11-03T10:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223127.09,,,,
2025-11-03T11:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223127.09,,,,
2025-11-03T12:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223127.13,,,,
2025-11-03T13:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223127.13,,,,
2025-11-03T14:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223127.14,,,,
2025-11-03T15:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223392.03,,,,
2025-11-03T16:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223392.06,,,,
2025-11-03T17:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223392.06,,,,
2025-11-03T18:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223392.06,,,,
2025-11-03T19:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223392.10,,,,
2025-11-03T20:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223392.10,,,,
2025-11-03T21:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223392.09,,,,
2025-11-03T22:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223392.09,,,,
2025-11-03T23:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223392.11,,,,
2025-11-04T00:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223392.11,,,,
2025-11-04T01:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223812.61,,,,
2025-11-04T02:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223812.61,,,,
2025-11-04T03:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223812.63,,,,
2025-11-04T04:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223812.63,,,,
2025-11-04T05:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223812.69,,,,
2025-11-04T06:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223812.69,,,,
2025-11-04T07:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223812.65,,,,
2025-11-04T08:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223812.65,,,,
2025-11-04T09:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223812.60,,,,
2025-11-04T10:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223812.60,,,,
2025-11-04T11:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223812.60,,,,
2025-11-04T12:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,224237.97,,,,
2025-11-04T13:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,224237.97,,,,
2025-11-04T14:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,224237.97,,,,
2025-11-04T15:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,224237.97,,,,
2025-11-04T16:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,224237.97,,,,
2025-11-04T17:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,224237.97,,,,
2025-11-04T18:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,224238.03,,,,
2025-11-04T19:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,224238.03,,,,
2025-11-04T20:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,224238.02,,,,
2025-11-04T21:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,224238.02,,,,
2025-11-04T22:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,224238.02,,,,
2025-11-04T23:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225750.22,,,,
2025-11-05T00:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225750.22,,,,
2025-11-05T01:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225750.18,,,,
2025-11-05T02:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225750.18,,,,
2025-11-05T03:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225750.12,,,,
2025-11-05T04:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225750.12,,,,
2025-11-05T05:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225750.09,,,,
2025-11-05T06:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225750.09,,,,
2025-11-05T07:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225750.17,,,,
2025-11-05T08:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223385.26,,,,
2025-11-05T09:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223385.26,,,,
2025-11-05T10:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223385.22,,,,
2025-11-05T11:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223385.22,,,,
2025-11-05T12:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223385.26,,,,
2025-11-05T13:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223385.26,,,,
2025-11-05T14:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223385.25,,,,
2025-11-05T15:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223385.25,,,,
2025-11-05T16:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,223385.29,,,,
2025-11-05T17:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225615.19,,,,
2025-11-05T18:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225615.29,,,,
2025-11-05T19:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225615.29,,,,
2025-11-05T20:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225615.29,,,,
2025-11-05T21:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225615.28,,,,
2025-11-05T22:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225615.28,,,,
2025-11-05T23:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225615.21,,,,
2025-11-06T00:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,225615.21,,,,
2025-11-06T01:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.14,,,,
2025-11-06T02:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.14,,,,
2025-11-06T03:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.20,,,,
2025-11-06T04:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.20,,,,
2025-11-06T05:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.13,,,,
2025-11-06T06:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.13,,,,
2025-11-06T07:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.25,,,,
2025-11-06T08:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.25,,,,
2025-11-06T09:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.19,,,,
2025-11-06T10:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.19,,,,
2025-11-06T11:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.19,,,,
2025-11-06T12:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.13,,,,
2025-11-06T13:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220966.13,,,,
2025-11-06T14:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222420.52,,,,
2025-11-06T15:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222420.52,,,,
2025-11-06T16:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222420.50,,,,
2025-11-06T17:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222420.50,,,,
2025-11-06T18:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222420.57,,,,
2025-11-06T19:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222420.57,,,,
2025-11-06T20:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222420.57,,,,
2025-11-06T21:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222420.57,,,,
2025-11-06T22:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222420.57,,,,
2025-11-06T23:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222420.60,,,,
2025-11-07T00:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,222420.60,,,,
